ID,A,G2,G1,G1b,Cathode,G3,Heater,Heater,Htr Volts,SPICE model,VaStart,VaEnd,VaStep,VsStart,VsEnd,VsStep,VgStart,VgEnd,VgStep,Vca,Dva,Vcg2,Dvg2,Vcg,Dvg,Power,EmmVa,EmmVs,EmmVg,EmmIa
5879,8,7,1,0,3,9,4,5,6.3,Derk Pentode,4,300,20,200,300,2,0,-6,4,200,10,200,10,-3,20,10,200,200,0,10
6550,3,4,5,5,8,0,2,7,6.3,DerkE BTet+SE,4,400,30,300,400,2,-12,-47,4,200,10,300,10,0,10,10,200,200,0,10
6n2p-EV,1,6,2,7,3,8,4,5,6.3,Koren Dual Triode,4,300,10,2,2,0,0,-3,5,175,10,175,10,-1,20,10,200,200,0,10
7586,2,0,4,4,8,0,10,12,6.3,Koren Triode,4,300,20,2,2,0,0,-5,5,200,10,200,10,-2,10,10,200,200,0,10
12AT7/ECC81,1,6,2,7,3,8,4,5,12.6,Koren Dual Diode,4,300,20,4,4,0,0,-5,5,200,10,2,10,0,10,10,200,200,0,10
12AU7/ECC82,1,6,2,7,3,8,4,5,12.6,Koren Dual Triode,4,300,20,4,4,0,0,-15,5,200,10,2,10,0,10,10,200,200,0,10
12AX7/ECC83,1,6,2,7,3,8,4,5,12.6,Koren Dual Triode,4,300,20,4,4,0,0,-3,6,200,10,2,10,0,10,10,200,200,0,10
12BA6,5,6,1,1,7,2,3,4,12.6,Derk Pentode,4,300,20,100,125,1,0,-16,4,200,10,200,10,-5,10,10,200,200,0,10
12SK7,8,6,4,4,5,3,2,7,12.6,Derk Pentode,4,300,20,5,155,5,0,-40,4,200,10,200,10,-20,10,10,200,200,0,10
6AU6,5,6,1,1,7,2,3,4,6.3,Derk Pentode,4,300,20,200,300,2,0,-4,8,200,10,200,10,-2,10,10,200,200,0,10
6AV6-DI,5,6,0,0,2,0,3,4,6.3,Koren Diode,4,10,2,4,4,0,0,0,0,200,10,2,0,0,0,10,200,200,0,10
6AV6-TRI,7,0,1,0,2,0,3,4,6.3,Koren Triode,4,300,20,4,4,0,0,-10,5,200,10,2,0,-5,10,10,200,200,0,10
6C4,5,0,6,6,7,0,3,4,6.3,Koren Triode,2,300,20,2,2,0,0,-20,5,200,10,200,10,-10,10,10,200,200,0,10
6DJ8/ECC88,1,6,2,7,3,0,4,5,6.3,Koren Dual Diode,2,300,20,2,300,0,0,-10,5,200,10,200,10,-5,10,10,200,200,0,10
6F6,3,4,5,5,8,0,2,7,6.3,Derk Pentode,4,300,20,200,300,1,0,-25,5,200,10,200,10,-15,10,10,200,200,0,10
6FW5,5,8,1,1,3,0,2,7,6.3,Derk Pentode,4,300,20,150,150,0,-5,-45,5,200,10,200,10,-20,10,10,200,200,0,10
6L6GC,3,4,5,5,8,0,2,7,6.3,DerkE BTet,4,300,20,200,300,1,-5,-25,4,200,10,200,10,-15,10,10,200,200,0,10
6SJ7,8,6,4,0,5,3,2,7,6.3,Derk Pentode,4,300,20,200,300,2,0,-6,6,200,10,200,10,-3,10,10,200,200,0,10
6SL7,2,5,1,4,3,6,7,8,6.3,Koren Triode,2,300,20,4,4,0,0,-6,6,200,10,200,10,-3,10,10,200,200,0,10
6SN7,2,5,1,4,3,6,7,8,6.3,Koren Triode,2,300,20,4,4,0,0,-20,5,200,10,200,10,-10,10,10,200,200,0,10
6U8A-PEN,6,3,2,2,7,0,4,5,6.3,Derk Pentode,4,300,20,200,300,1,0,-8,4,200,10,200,10,-3,10,10,200,200,0,10
6U8A-TRI,1,0,9,9,8,0,4,5,6.3,Koren Triode,4,300,20,4,4,0,0,-4,8,200,10,200,10,-2,10,10,200,200,0,10
ECF80-PENTODE,6,3,2,0,7,7,4,5,6.3,Do Not Model,4,200,16,170,170,0,0,-4,4,90,10,0,0,0,0,1.7,200,200,0,10
ECF80-TRIODE,1,0,9,0,8,0,4,5,6.3,Do Not Model,4,120,30,50,50,0,0,-2,4,90,10,0,0,0,0,1.5,200,200,0,10
EL34,3,4,5,5,8,1,2,7,6.3,Derk Pent+SE,4,400,30,300,400,2,-6,-26,5,200,10,200,10,-15,10,10,200,200,0,10
EL84,7,9,2,2,3,0,4,5,6.3,Derk Pentode,4,300,20,200,300,1,0,-12,6,200,10,200,10,-5,10,10,200,200,0,10
z6550,3,4,5,5,8,0,2,7,6.3,Do Not Model,300,300,30,400,400,0,-30,-30,5,200,10,300,10,0,10,10,200,200,0,10
