Data 2
ECF80-PENTODE
Do Not Model
Va	10	200	10
Vs	100	100	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	3.82	3.96	-0.50	9.02	98.50	6.30
2	1	5.77	2.34	-0.50	27.26	98.97	6.30
3	1	6.20	2.10	-0.50	46.47	98.46	6.30
4	1	6.39	2.03	-0.50	64.67	98.46	6.30
5	1	6.54	2.01	-0.50	83.38	97.96	6.30
6	1	6.64	2.00	-0.50	102.59	98.46	6.30
7	1	6.73	1.99	-0.50	121.29	98.46	6.30
8	1	6.82	1.97	-0.50	140.51	98.97	6.30
9	1	6.92	1.96	-0.50	159.72	99.47	6.30
10	1	6.97	1.96	-0.50	178.93	99.47	6.30
11	1	7.04	1.95	-0.50	198.14	99.47	6.30
1	2	3.75	2.70	-0.88	11.07	99.51	6.30
2	2	4.60	1.84	-0.88	27.23	98.46	6.30
3	2	4.86	1.63	-0.88	45.94	98.46	6.30
4	2	4.99	1.58	-0.88	65.15	98.45	6.30
5	2	5.05	1.55	-0.88	83.86	98.45	6.30
6	2	5.08	1.53	-0.88	102.06	98.45	6.30
7	2	5.17	1.53	-0.88	121.27	98.96	6.30
8	2	5.22	1.51	-0.88	140.48	98.96	6.30
9	2	5.27	1.50	-0.88	160.19	99.46	6.30
10	2	5.30	1.49	-0.88	179.40	99.46	6.30
11	2	5.33	1.48	-0.88	198.61	99.46	6.30
1	3	2.63	1.66	-1.25	11.02	99.97	6.30
2	3	3.03	1.17	-1.25	27.21	98.45	6.30
3	3	3.21	1.06	-1.25	46.42	98.45	6.30
4	3	3.25	1.02	-1.25	65.12	98.44	6.30
5	3	3.28	1.00	-1.25	83.83	98.44	6.30
6	3	3.32	1.00	-1.25	102.02	98.44	6.30
7	3	3.38	1.00	-1.25	121.23	99.46	6.30
8	3	3.44	0.99	-1.25	139.94	99.46	6.30
9	3	3.46	0.98	-1.25	158.64	99.46	6.30
10	3	3.48	0.98	-1.25	179.37	99.46	6.30
11	3	3.50	0.97	-1.25	198.07	99.46	6.30
1	4	1.57	0.93	-1.62	11.00	99.96	6.30
2	4	1.76	0.67	-1.62	27.18	98.44	6.30
3	4	1.84	0.60	-1.62	46.39	98.44	6.30
4	4	1.86	0.58	-1.62	65.10	98.44	6.30
5	4	1.87	0.57	-1.62	83.80	98.44	6.30
6	4	1.87	0.56	-1.62	102.50	98.94	6.30
7	4	1.92	0.57	-1.62	121.21	98.94	6.30
8	4	1.94	0.56	-1.62	141.43	99.45	6.30
9	4	1.95	0.55	-1.62	160.13	99.45	6.30
10	4	1.97	0.55	-1.62	179.34	99.45	6.30
11	4	1.98	0.55	-1.62	198.04	99.45	6.30
1	5	0.85	0.49	-2.00	10.99	99.95	6.30
2	5	0.94	0.35	-2.00	27.17	98.43	6.30
3	5	0.98	0.32	-2.00	46.38	97.93	6.30
4	5	0.98	0.30	-2.00	65.08	98.43	6.30
5	5	0.98	0.30	-2.00	83.78	98.43	6.30
6	5	0.99	0.30	-2.00	102.49	98.43	6.30
7	5	1.02	0.30	-2.00	121.19	99.44	6.30
8	5	1.04	0.30	-2.00	141.41	99.44	6.30
9	5	1.04	0.30	-2.00	159.10	99.44	6.30
10	5	1.05	0.30	-2.00	179.32	99.44	6.30
11	5	1.06	0.30	-2.00	197.02	99.44	6.30
