Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.56	20.48	0.00	5.44	169.56	6.30
2	1	10.17	12.45	0.00	14.70	168.41	6.30
3	1	15.00	8.17	0.00	26.92	168.33	6.30
4	1	16.32	7.10	0.00	39.07	168.31	6.30
5	1	16.94	6.62	0.00	51.72	168.30	6.30
6	1	17.37	6.33	0.00	63.35	168.30	6.30
7	1	17.64	6.15	0.00	75.49	168.30	6.30
8	1	17.86	6.02	0.00	87.63	168.29	6.30
9	1	18.07	5.93	0.00	100.27	168.29	6.30
10	1	-1.00	5.93	0.00	100.27	168.29	6.30
11	1	-1.00	5.93	0.00	100.27	168.29	6.30
12	1	-1.00	5.93	0.00	100.27	168.29	6.30
13	1	-1.00	5.93	0.00	100.27	168.29	6.30
14	1	-1.00	5.93	0.00	100.27	168.29	6.30
15	1	-1.00	5.93	0.00	100.27	168.29	6.30
16	1	-1.00	5.93	0.00	100.27	168.29	6.30
17	1	-1.00	5.93	0.00	100.27	168.29	6.30
1	2	1.82	13.89	-1.00	5.45	169.45	6.30
2	2	8.87	7.17	-1.00	14.17	168.31	6.30
3	2	11.02	5.25	-1.00	26.84	168.28	6.30
4	2	11.68	4.69	-1.00	38.99	168.27	6.30
5	2	12.01	4.42	-1.00	51.63	168.26	6.30
6	2	12.19	4.28	-1.00	63.26	167.76	6.30
7	2	12.32	4.19	-1.00	75.90	168.26	6.30
8	2	12.46	4.14	-1.00	87.53	168.26	6.30
9	2	12.59	4.09	-1.00	100.17	168.26	6.30
10	2	12.69	4.03	-1.00	112.30	168.26	6.30
11	2	12.78	4.00	-1.00	123.93	168.26	6.30
12	2	12.84	3.97	-1.00	135.56	168.26	6.30
13	2	-1.00	3.97	-1.00	135.56	168.26	6.30
14	2	-1.00	3.97	-1.00	135.56	168.26	6.30
15	2	-1.00	3.97	-1.00	135.56	168.26	6.30
16	2	-1.00	3.97	-1.00	135.56	168.26	6.30
17	2	-1.00	3.97	-1.00	135.56	168.26	6.30
1	3	2.46	6.24	-2.00	5.46	169.81	6.30
2	3	5.32	3.39	-2.00	14.61	168.25	6.30
3	3	6.06	2.71	-2.00	27.26	168.23	6.30
4	3	6.38	2.44	-2.00	38.89	168.23	6.30
5	3	6.48	2.32	-2.00	51.53	168.23	6.30
6	3	6.55	2.25	-2.00	63.16	168.23	6.30
7	3	6.61	2.22	-2.00	75.80	168.22	6.30
8	3	6.65	2.18	-2.00	87.43	168.22	6.30
9	3	6.71	2.16	-2.00	100.06	168.22	6.30
10	3	6.76	2.15	-2.00	112.20	167.72	6.30
11	3	6.82	2.13	-2.00	124.33	168.22	6.30
12	3	6.83	2.11	-2.00	135.96	167.72	6.30
13	3	6.88	2.09	-2.00	148.59	168.22	6.30
14	3	6.90	2.08	-2.00	160.20	168.20	6.30
15	3	6.95	2.08	-2.00	172.86	168.73	6.30
16	3	6.95	2.06	-2.00	184.49	168.22	6.30
17	3	6.99	2.05	-2.00	196.62	168.22	6.30
1	4	1.30	1.90	-3.00	5.94	169.74	6.30
2	4	1.98	1.14	-3.00	15.56	168.21	6.30
3	4	2.19	0.94	-3.00	27.19	168.20	6.30
4	4	2.30	0.84	-3.00	38.82	168.20	6.30
5	4	2.33	0.81	-3.00	51.46	168.20	6.30
6	4	2.35	0.79	-3.00	63.59	168.20	6.30
7	4	2.36	0.77	-3.00	75.72	168.20	6.30
8	4	2.38	0.77	-3.00	87.85	168.20	6.30
9	4	2.39	0.76	-3.00	100.49	168.20	6.30
10	4	2.40	0.75	-3.00	112.62	168.20	6.30
11	4	2.41	0.74	-3.00	124.76	168.20	6.30
12	4	2.42	0.73	-3.00	136.38	168.20	6.30
13	4	2.42	0.73	-3.00	148.49	168.17	6.30
14	4	2.42	0.72	-3.00	160.65	167.69	6.30
15	4	2.43	0.71	-3.00	172.78	168.20	6.30
16	4	2.47	0.72	-3.00	184.91	168.20	6.30
17	4	2.50	0.72	-3.00	197.04	168.70	6.30
1	5	0.34	0.42	-4.00	5.42	169.71	6.30
2	5	0.46	0.26	-4.00	16.04	168.19	6.30
3	5	0.51	0.21	-4.00	26.66	168.19	6.30
4	5	0.53	0.18	-4.00	38.79	168.19	6.30
5	5	0.54	0.18	-4.00	51.43	168.19	6.30
6	5	0.55	0.17	-4.00	63.05	168.19	6.30
7	5	0.55	0.17	-4.00	75.69	168.19	6.30
8	5	0.56	0.17	-4.00	87.32	168.19	6.30
9	5	0.56	0.17	-4.00	100.46	167.68	6.30
10	5	0.57	0.17	-4.00	112.59	168.19	6.30
11	5	0.57	0.17	-4.00	124.72	168.19	6.30
12	5	0.57	0.16	-4.00	136.33	168.16	6.30
13	5	0.57	0.16	-4.00	148.99	168.19	6.30
14	5	0.57	0.16	-4.00	160.61	168.19	6.30
15	5	0.57	0.16	-4.00	172.74	168.19	6.30
16	5	0.59	0.16	-4.00	184.37	168.69	6.30
17	5	0.60	0.16	-4.00	197.01	168.69	6.30
