Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	30
Vs	50	50	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.01	0.01	0.00	5.94	5.94	6.30
2	1	0.03	0.01	0.00	8.47	8.98	6.30
3	1	0.08	0.01	0.00	12.52	12.52	6.30
4	1	0.17	0.00	0.00	16.06	16.05	6.30
5	1	0.28	0.01	0.00	18.59	18.58	6.30
6	1	0.47	0.01	0.00	22.63	22.12	6.30
7	1	0.68	0.01	0.00	25.17	25.66	6.30
8	1	0.91	0.00	0.00	28.20	29.70	6.30
9	1	1.27	0.01	0.00	32.25	33.24	6.30
10	1	1.66	0.00	0.00	36.30	37.29	6.30
11	1	2.15	0.01	0.00	40.36	41.33	6.30
12	1	2.69	0.01	0.00	43.90	45.37	6.30
13	1	3.25	0.00	0.00	47.96	48.91	6.30
14	1	3.90	0.00	0.00	51.51	52.45	6.30
15	1	4.61	0.00	0.00	55.57	56.49	6.30
16	1	5.27	0.00	0.00	59.12	60.03	6.30
17	1	6.05	0.00	0.00	63.17	64.58	6.30
18	1	6.85	0.01	0.00	67.23	68.63	6.30
19	1	7.57	0.01	0.00	70.28	71.66	6.30
20	1	8.41	0.01	0.00	74.82	75.68	6.30
21	1	9.30	0.00	0.00	78.37	79.72	6.30
22	1	10.11	0.00	0.00	81.93	83.26	6.30
23	1	11.01	0.00	0.00	86.49	87.31	6.30
24	1	11.84	0.01	0.00	90.55	91.35	6.30
25	1	12.56	0.01	0.00	94.10	94.89	6.30
26	1	13.38	0.01	0.00	97.66	98.93	6.30
27	1	14.35	0.01	0.00	102.25	103.00	6.30
28	1	15.24	0.02	0.00	105.78	106.51	6.30
29	1	-1.00	0.02	0.00	105.78	106.51	6.30
30	1	-1.00	0.02	0.00	105.78	106.51	6.30
31	1	-1.00	0.02	0.00	105.78	106.51	6.30
1	2	0.03	0.00	-0.50	5.42	5.42	6.30
2	2	0.07	0.00	-0.50	8.47	8.98	6.30
3	2	0.16	0.01	-0.50	12.52	12.52	6.30
4	2	0.29	0.01	-0.50	16.56	16.05	6.30
5	2	0.43	0.01	-0.50	19.10	18.58	6.30
6	2	0.63	0.01	-0.50	22.11	22.10	6.30
7	2	0.88	0.01	-0.50	25.17	25.66	6.30
8	2	1.12	0.00	-0.50	28.71	29.70	6.30
9	2	1.49	0.01	-0.50	32.76	33.24	6.30
10	2	1.86	0.01	-0.50	36.31	37.29	6.30
11	2	2.35	0.01	-0.50	40.84	41.31	6.30
12	2	2.85	0.00	-0.50	43.91	44.87	6.30
13	2	3.34	0.01	-0.50	47.43	48.38	6.30
14	2	3.94	0.01	-0.50	51.49	52.93	6.30
15	2	4.58	0.00	-0.50	55.54	56.47	6.30
16	2	5.17	0.00	-0.50	59.09	60.51	6.30
17	2	5.85	0.00	-0.50	63.15	64.56	6.30
18	2	6.56	0.00	-0.50	67.20	68.60	6.30
19	2	7.15	0.00	-0.50	70.25	71.64	6.30
20	2	7.94	0.00	-0.50	74.31	75.68	6.30
21	2	8.72	0.00	-0.50	78.87	79.72	6.30
22	2	9.42	0.00	-0.50	81.91	83.26	6.30
23	2	10.22	0.00	-0.50	85.97	87.31	6.30
24	2	11.12	0.01	-0.50	90.03	91.35	6.30
25	2	11.85	0.01	-0.50	94.09	94.89	6.30
26	2	12.61	0.01	-0.50	97.64	98.93	6.30
27	2	13.49	0.01	-0.50	102.21	102.98	6.30
28	2	14.26	0.01	-0.50	105.25	106.51	6.30
29	2	-1.00	0.01	-0.50	105.25	106.51	6.30
30	2	-1.00	0.01	-0.50	105.25	106.51	6.30
31	2	-1.00	0.01	-0.50	105.25	106.51	6.30
1	3	0.00	0.00	-1.00	5.42	5.92	6.30
2	3	0.01	0.00	-1.00	8.98	8.98	6.30
3	3	0.02	0.01	-1.00	11.99	12.49	6.30
4	3	0.06	0.00	-1.00	16.06	16.05	6.30
5	3	0.12	0.00	-1.00	18.56	18.56	6.30
6	3	0.23	0.01	-1.00	22.10	22.60	6.30
7	3	0.35	0.00	-1.00	25.14	25.64	6.30
8	3	0.52	0.00	-1.00	28.68	29.68	6.30
9	3	0.78	0.00	-1.00	32.24	33.24	6.30
10	3	1.05	0.00	-1.00	36.27	37.26	6.30
11	3	1.41	0.01	-1.00	40.32	41.31	6.30
12	3	1.81	0.00	-1.00	44.37	44.84	6.30
13	3	2.20	0.00	-1.00	47.41	48.89	6.30
14	3	2.69	0.00	-1.00	51.46	52.93	6.30
15	3	3.23	0.00	-1.00	55.52	56.47	6.30
16	3	3.72	0.00	-1.00	59.57	60.51	6.30
17	3	4.32	0.00	-1.00	63.12	64.56	6.30
18	3	4.93	0.01	-1.00	67.17	68.60	6.30
19	3	5.50	0.00	-1.00	70.72	71.64	6.30
20	3	6.19	0.01	-1.00	74.78	75.68	6.30
21	3	6.89	0.00	-1.00	78.84	79.72	6.30
22	3	7.54	0.01	-1.00	82.39	83.26	6.30
23	3	8.27	0.01	-1.00	85.94	87.31	6.30
24	3	9.07	0.01	-1.00	90.00	91.35	6.30
25	3	9.79	0.00	-1.00	94.05	94.89	6.30
26	3	10.95	0.01	-1.00	98.12	99.44	6.30
27	3	11.86	0.01	-1.00	102.18	102.98	6.30
28	3	12.58	0.01	-1.00	105.22	106.51	6.30
29	3	13.55	0.01	-1.00	109.79	110.56	6.30
30	3	14.49	0.02	-1.00	113.85	114.10	6.30
31	3	-1.00	0.02	-1.00	113.85	114.10	6.30
1	4	0.00	0.00	-1.50	5.42	5.92	6.30
2	4	0.00	0.00	-1.50	8.95	8.95	6.30
3	4	0.00	0.01	-1.50	12.52	12.52	6.30
4	4	0.01	0.01	-1.50	16.03	15.53	6.30
5	4	0.02	0.00	-1.50	18.56	18.56	6.30
6	4	0.05	0.01	-1.50	22.10	22.10	6.30
7	4	0.11	0.00	-1.50	25.64	26.14	6.30
8	4	0.19	0.00	-1.50	28.67	29.68	6.30
9	4	0.33	0.00	-1.50	32.72	33.72	6.30
10	4	0.51	0.00	-1.50	36.26	37.26	6.30
11	4	0.73	0.00	-1.50	40.31	41.31	6.30
12	4	1.01	0.00	-1.50	43.85	45.35	6.30
13	4	1.28	0.01	-1.50	47.39	48.89	6.30
14	4	1.65	0.00	-1.50	51.45	52.93	6.30
15	4	2.07	0.01	-1.50	55.50	56.98	6.30
16	4	2.47	0.01	-1.50	59.04	60.51	6.30
17	4	2.96	0.01	-1.50	63.10	64.05	6.30
18	4	3.48	0.01	-1.50	67.15	68.60	6.30
19	4	3.95	0.00	-1.50	70.70	71.13	6.30
20	4	4.56	0.00	-1.50	74.24	75.68	6.30
21	4	5.17	0.00	-1.50	78.30	79.72	6.30
22	4	5.75	0.00	-1.50	82.35	83.26	6.30
23	4	6.42	0.01	-1.50	86.41	87.31	6.30
24	4	7.10	0.00	-1.50	89.96	91.35	6.30
25	4	7.78	0.00	-1.50	94.02	94.89	6.30
26	4	8.52	0.01	-1.50	98.07	98.93	6.30
27	4	9.27	0.00	-1.50	102.13	102.98	6.30
28	4	10.39	0.01	-1.50	105.18	106.01	6.30
29	4	11.59	0.01	-1.50	109.76	111.06	6.30
30	4	12.54	0.01	-1.50	113.82	114.60	6.30
31	4	13.38	0.01	-1.50	116.36	117.64	6.30
1	5	0.00	0.00	-2.00	5.92	5.92	6.30
2	5	0.00	0.01	-2.00	8.45	8.45	6.30
3	5	0.00	0.00	-2.00	12.49	12.49	6.30
4	5	0.00	0.00	-2.00	16.03	15.53	6.30
5	5	0.00	0.00	-2.00	18.56	18.56	6.30
