Data 2
ECF80-TRIODE
Do Not Model
Va	20	90	8
Vs	50	50	0
Vg	0	-2	5
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.30	0.00	0.00	18.70	18.67	6.30
2	1	2.28	0.00	0.00	26.30	27.27	6.30
3	1	3.63	0.00	0.00	34.89	35.84	6.30
4	1	5.14	0.00	0.00	44.04	44.45	6.30
5	1	6.72	0.00	0.00	52.64	53.53	6.30
6	1	8.61	0.00	0.00	61.27	62.12	6.30
7	1	10.47	0.00	0.00	69.89	70.72	6.30
8	1	12.39	0.00	0.00	78.02	79.31	6.30
9	1	14.60	0.00	0.00	87.66	88.91	6.30
1	2	0.91	0.00	-0.40	20.21	19.69	6.30
2	2	1.63	0.00	-0.40	25.78	27.27	6.30
3	2	2.81	0.00	-0.40	34.88	36.34	6.30
4	2	4.20	0.00	-0.40	44.00	44.94	6.30
5	2	5.74	0.00	-0.40	52.62	53.53	6.30
6	2	7.52	0.00	-0.40	61.25	62.63	6.30
7	2	9.30	0.00	-0.40	69.87	70.72	6.30
8	2	11.21	0.00	-0.40	78.50	79.31	6.30
9	2	13.35	0.00	-0.40	87.64	88.91	6.30
1	3	0.38	0.00	-0.80	20.17	20.17	6.30
2	3	0.85	0.00	-0.80	26.25	27.24	6.30
3	3	1.76	0.00	-0.80	35.36	36.34	6.30
4	3	2.92	0.00	-0.80	43.47	44.94	6.30
5	3	4.27	0.00	-0.80	52.09	53.02	6.30
6	3	5.89	0.01	-0.80	61.22	62.63	6.30
7	3	7.54	0.00	-0.80	69.84	71.22	6.30
8	3	9.33	0.00	-0.80	78.47	79.31	6.30
9	3	11.38	0.00	-0.80	87.60	88.91	6.30
1	4	0.12	0.00	-1.20	19.66	19.16	6.30
2	4	0.37	0.00	-1.20	25.73	26.74	6.30
3	4	0.99	0.00	-1.20	34.84	36.34	6.30
4	4	1.88	0.00	-1.20	43.45	44.43	6.30
5	4	2.98	0.00	-1.20	52.07	53.02	6.30
6	4	4.40	0.00	-1.20	61.19	62.12	6.30
7	4	5.91	0.00	-1.20	69.81	70.72	6.30
8	4	7.50	0.00	-1.20	77.93	79.31	6.30
9	4	9.44	0.00	-1.20	87.57	88.41	6.30
1	5	0.03	0.00	-1.60	20.17	19.66	6.30
2	5	0.13	0.00	-1.60	25.73	27.24	6.30
3	5	0.51	0.00	-1.60	34.84	35.33	6.30
4	5	1.13	0.00	-1.60	43.44	44.43	6.30
5	5	2.01	0.00	-1.60	52.05	53.02	6.30
6	5	3.18	0.00	-1.60	61.68	62.63	6.30
7	5	4.49	0.00	-1.60	69.79	71.22	6.30
8	5	5.94	0.00	-1.60	78.41	79.31	6.30
9	5	7.69	0.00	-1.60	87.54	88.41	6.30
1	6	0.00	0.00	-2.00	20.17	20.17	6.30
2	6	0.04	0.00	-2.00	25.73	26.74	6.30
3	6	0.22	0.00	-2.00	34.83	36.34	6.30
4	6	0.63	0.00	-2.00	43.94	44.94	6.30
5	6	1.27	0.00	-2.00	52.54	53.02	6.30
6	6	2.19	0.00	-2.00	61.66	62.12	6.30
7	6	3.27	0.00	-2.00	69.76	71.22	6.30
8	6	4.54	0.00	-2.00	77.88	79.31	6.30
9	6	6.10	0.00	-2.00	87.51	88.41	6.30
