Data 2
ECF80-PENTODE
Do Not Model
Va	4	200	16
Vs	170	170	0
Vg	0	-4	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	1.78	24.31	0.00	5.45	169.63	6.30
2	1	10.39	16.73	0.00	14.70	168.49	6.30
3	1	18.21	10.13	0.00	26.97	168.37	6.30
4	1	20.89	8.09	0.00	39.15	168.33	6.30
5	1	21.85	7.47	0.00	51.81	168.32	6.30
6	1	22.37	7.18	0.00	63.44	168.31	6.30
7	1	22.68	7.02	0.00	75.58	168.31	6.30
8	1	-1.00	7.02	0.00	75.58	168.31	6.30
9	1	-1.00	7.02	0.00	75.58	168.31	6.30
10	1	-1.00	7.02	0.00	75.58	168.31	6.30
11	1	-1.00	7.02	0.00	75.58	168.31	6.30
12	1	-1.00	7.02	0.00	75.58	168.31	6.30
13	1	-1.00	7.02	0.00	75.58	168.31	6.30
14	1	-1.00	7.02	0.00	75.58	168.31	6.30
15	1	-1.00	7.02	0.00	75.58	168.31	6.30
16	1	-1.00	7.02	0.00	75.58	168.31	6.30
17	1	-1.00	7.02	0.00	75.58	168.31	6.30
1	2	1.77	15.77	-1.00	5.45	169.48	6.30
2	2	9.37	8.94	-1.00	15.19	168.35	6.30
3	2	13.25	5.66	-1.00	26.89	168.29	6.30
4	2	14.27	4.79	-1.00	39.04	168.27	6.30
5	2	14.61	4.53	-1.00	51.68	168.27	6.30
6	2	14.80	4.39	-1.00	63.31	168.26	6.30
7	2	14.93	4.29	-1.00	75.44	168.26	6.30
8	2	15.03	4.23	-1.00	87.58	168.26	6.30
9	2	15.18	4.19	-1.00	100.22	168.26	6.30
10	2	15.27	4.15	-1.00	111.84	168.26	6.30
11	2	-1.00	4.15	-1.00	111.84	168.26	6.30
12	2	-1.00	4.15	-1.00	111.84	168.26	6.30
13	2	-1.00	4.15	-1.00	111.84	168.26	6.30
14	2	-1.00	4.15	-1.00	111.84	168.26	6.30
15	2	-1.00	4.15	-1.00	111.84	168.26	6.30
16	2	-1.00	4.15	-1.00	111.84	168.26	6.30
17	2	-1.00	4.15	-1.00	111.84	168.26	6.30
1	3	2.02	7.36	-2.00	5.96	169.83	6.30
2	3	5.83	3.74	-2.00	14.62	168.25	6.30
3	3	7.05	2.63	-2.00	26.77	168.23	6.30
4	3	7.40	2.29	-2.00	38.91	168.23	6.30
5	3	7.54	2.19	-2.00	51.55	168.22	6.30
6	3	7.62	2.13	-2.00	63.18	168.22	6.30
7	3	7.68	2.09	-2.00	75.82	168.22	6.30
8	3	7.72	2.05	-2.00	87.44	168.22	6.30
9	3	7.78	2.03	-2.00	100.08	167.72	6.30
10	3	7.87	2.01	-2.00	112.22	168.22	6.30
11	3	7.88	1.98	-2.00	124.35	168.22	6.30
12	3	7.92	1.96	-2.00	135.47	168.22	6.30
13	3	7.95	1.94	-2.00	148.61	168.22	6.30
14	3	7.98	1.93	-2.00	160.24	168.22	6.30
15	3	8.05	1.92	-2.00	172.88	168.72	6.30
16	3	8.07	1.90	-2.00	184.51	168.22	6.30
17	3	8.11	1.90	-2.00	197.14	169.23	6.30
1	4	1.30	2.65	-3.00	5.44	169.75	6.30
2	4	2.50	1.41	-3.00	16.08	168.21	6.30
3	4	2.88	1.06	-3.00	26.70	168.20	6.30
4	4	3.03	0.91	-3.00	38.83	168.20	6.30
5	4	3.09	0.86	-3.00	51.47	168.20	6.30
6	4	3.13	0.84	-3.00	63.60	168.20	6.30
7	4	3.14	0.82	-3.00	75.74	168.20	6.30
8	4	3.16	0.80	-3.00	87.36	168.20	6.30
9	4	3.18	0.79	-3.00	100.00	168.20	6.30
10	4	3.19	0.77	-3.00	112.64	168.20	6.30
11	4	3.19	0.76	-3.00	124.77	168.20	6.30
12	4	3.20	0.75	-3.00	136.40	168.20	6.30
13	4	3.21	0.74	-3.00	149.03	168.20	6.30
14	4	3.23	0.73	-3.00	160.15	167.69	6.30
15	4	3.23	0.72	-3.00	172.79	168.20	6.30
16	4	3.27	0.72	-3.00	184.42	168.20	6.30
17	4	3.31	0.72	-3.00	197.06	168.70	6.30
1	5	0.60	0.94	-4.00	5.43	169.72	6.30
2	5	0.98	0.54	-4.00	16.05	168.19	6.30
3	5	1.11	0.41	-4.00	26.69	168.21	6.30
4	5	1.17	0.35	-4.00	38.80	168.19	6.30
5	5	1.19	0.33	-4.00	51.44	168.19	6.30
6	5	1.20	0.31	-4.00	63.57	168.19	6.30
7	5	1.22	0.31	-4.00	75.70	168.19	6.30
8	5	1.22	0.30	-4.00	87.33	168.19	6.30
9	5	1.24	0.29	-4.00	100.47	168.19	6.30
10	5	1.24	0.29	-4.00	112.60	168.19	6.30
11	5	1.24	0.28	-4.00	124.73	168.19	6.30
12	5	1.25	0.28	-4.00	136.36	168.19	6.30
13	5	1.25	0.27	-4.00	149.00	168.19	6.30
14	5	1.26	0.27	-4.00	160.62	168.19	6.30
15	5	1.26	0.27	-4.00	172.76	168.19	6.30
16	5	1.27	0.26	-4.00	184.38	168.19	6.30
17	5	1.30	0.26	-4.00	197.02	168.69	6.30
