Data 2
ECF80-TRIODE
Do Not Model
Va	4	120	30
Vs	50	50	0
Vg	0	-2	4
Point	Curve	Ia	Is	Vg	Va	Vs	Vf
1	1	0.42	0.00	0.00	5.47	5.97	6.30
2	1	0.78	0.00	0.00	8.51	9.00	6.30
3	1	1.28	0.00	0.00	12.56	12.54	6.30
4	1	1.84	0.00	0.00	16.62	16.08	6.30
5	1	2.31	0.00	0.00	18.65	19.11	6.30
6	1	2.90	0.01	0.00	21.69	22.65	6.30
7	1	3.55	0.00	0.00	24.71	25.66	6.30
8	1	4.21	0.01	0.00	28.77	29.70	6.30
9	1	5.05	0.01	0.00	32.32	33.75	6.30
10	1	5.84	0.00	0.00	35.87	37.29	6.30
11	1	6.70	0.01	0.00	39.93	41.33	6.30
12	1	7.59	0.00	0.00	43.99	44.87	6.30
13	1	8.39	0.00	0.00	47.55	48.91	6.30
14	1	9.40	0.00	0.00	51.61	52.96	6.30
15	1	10.44	0.01	0.00	56.18	57.00	6.30
16	1	11.37	0.01	0.00	59.23	60.03	6.30
17	1	12.62	0.01	0.00	63.29	64.08	6.30
18	1	13.99	0.01	0.00	66.86	68.12	6.30
19	1	15.31	0.02	0.00	70.92	71.66	6.30
20	1	17.04	0.03	0.00	74.49	75.70	6.30
21	1	18.85	0.04	0.00	78.57	79.75	6.30
22	1	20.52	0.05	0.00	82.14	83.29	6.30
23	1	-1.00	0.05	0.00	82.14	83.29	6.30
24	1	-1.00	0.05	0.00	82.14	83.29	6.30
25	1	-1.00	0.05	0.00	82.14	83.29	6.30
26	1	-1.00	0.05	0.00	82.14	83.29	6.30
27	1	-1.00	0.05	0.00	82.14	83.29	6.30
28	1	-1.00	0.05	0.00	82.14	83.29	6.30
29	1	-1.00	0.05	0.00	82.14	83.29	6.30
30	1	-1.00	0.05	0.00	82.14	83.29	6.30
31	1	-1.00	0.05	0.00	82.14	83.29	6.30
1	2	0.18	0.00	-0.50	5.44	5.94	6.30
2	2	0.34	0.01	-0.50	8.98	8.98	6.30
3	2	0.63	0.01	-0.50	12.53	12.52	6.30
4	2	0.96	0.00	-0.50	15.57	15.55	6.30
5	2	1.36	0.00	-0.50	18.61	18.58	6.30
6	2	1.87	0.00	-0.50	21.65	22.63	6.30
7	2	2.39	0.00	-0.50	25.20	25.66	6.30
8	2	2.97	0.00	-0.50	28.75	29.70	6.30
9	2	3.67	0.00	-0.50	32.30	33.24	6.30
10	2	4.32	0.00	-0.50	35.85	37.29	6.30
11	2	5.11	0.00	-0.50	39.40	41.33	6.30
12	2	5.91	0.01	-0.50	44.45	44.84	6.30
13	2	6.62	0.00	-0.50	47.49	48.38	6.30
14	2	7.49	0.00	-0.50	51.57	52.96	6.30
15	2	8.40	0.01	-0.50	55.13	56.49	6.30
16	2	9.47	0.01	-0.50	59.19	60.03	6.30
17	2	10.64	0.01	-0.50	63.26	64.08	6.30
18	2	11.90	0.01	-0.50	66.82	68.12	6.30
19	2	13.08	0.01	-0.50	70.38	71.66	6.30
20	2	14.56	0.02	-0.50	74.45	75.70	6.30
21	2	16.17	0.02	-0.50	78.52	79.75	6.30
22	2	17.66	0.03	-0.50	82.06	83.77	6.30
23	2	19.42	0.04	-0.50	86.16	87.33	6.30
24	2	-1.00	0.04	-0.50	86.16	87.33	6.30
25	2	-1.00	0.04	-0.50	86.16	87.33	6.30
26	2	-1.00	0.04	-0.50	86.16	87.33	6.30
27	2	-1.00	0.04	-0.50	86.16	87.33	6.30
28	2	-1.00	0.04	-0.50	86.16	87.33	6.30
29	2	-1.00	0.04	-0.50	86.16	87.33	6.30
30	2	-1.00	0.04	-0.50	86.16	87.33	6.30
31	2	-1.00	0.04	-0.50	86.16	87.33	6.30
1	3	0.01	0.00	-1.00	5.42	5.42	6.30
2	3	0.04	0.01	-1.00	8.47	8.47	6.30
3	3	0.13	0.00	-1.00	12.52	12.52	6.30
4	3	0.27	0.00	-1.00	16.06	16.05	6.30
5	3	0.48	0.00	-1.00	18.59	18.58	6.30
6	3	0.80	0.01	-1.00	22.13	22.12	6.30
7	3	1.15	0.00	-1.00	25.17	26.16	6.30
8	3	1.51	0.01	-1.00	28.72	29.70	6.30
9	3	2.06	0.01	-1.00	32.27	33.24	6.30
10	3	2.59	0.01	-1.00	36.32	37.29	6.30
11	3	3.25	0.01	-1.00	39.85	41.31	6.30
12	3	3.93	0.00	-1.00	43.40	44.84	6.30
13	3	4.56	0.00	-1.00	47.98	48.91	6.30
14	3	5.33	0.00	-1.00	51.53	52.45	6.30
15	3	6.14	0.00	-1.00	55.59	56.49	6.30
16	3	6.84	0.01	-1.00	59.14	60.54	6.30
17	3	7.73	0.00	-1.00	63.18	64.05	6.30
18	3	8.73	0.01	-1.00	67.24	68.10	6.30
19	3	10.24	0.01	-1.00	70.30	71.64	6.30
20	3	11.65	0.01	-1.00	74.37	75.68	6.30
21	3	13.16	0.02	-1.00	78.44	79.72	6.30
22	3	14.54	0.02	-1.00	82.01	83.26	6.30
23	3	16.19	0.03	-1.00	86.08	87.31	6.30
24	3	18.00	0.04	-1.00	90.16	91.35	6.30
25	3	-1.00	0.04	-1.00	90.16	91.35	6.30
26	3	-1.00	0.04	-1.00	90.16	91.35	6.30
27	3	-1.00	0.04	-1.00	90.16	91.35	6.30
28	3	-1.00	0.04	-1.00	90.16	91.35	6.30
29	3	-1.00	0.04	-1.00	90.16	91.35	6.30
30	3	-1.00	0.04	-1.00	90.16	91.35	6.30
31	3	-1.00	0.04	-1.00	90.16	91.35	6.30
1	4	0.00	0.00	-1.50	5.42	5.92	6.30
2	4	0.00	0.00	-1.50	8.98	8.47	6.30
3	4	0.01	0.01	-1.50	12.52	12.52	6.30
4	4	0.05	0.00	-1.50	16.56	16.05	6.30
5	4	0.11	0.00	-1.50	18.58	18.58	6.30
6	4	0.25	0.01	-1.50	22.12	22.12	6.30
7	4	0.42	0.00	-1.50	24.66	25.66	6.30
8	4	0.65	0.01	-1.50	28.68	29.17	6.30
9	4	1.01	0.00	-1.50	32.73	33.22	6.30
10	4	1.42	0.00	-1.50	36.78	37.26	6.30
11	4	1.86	0.01	-1.50	40.33	41.31	6.30
12	4	2.37	0.01	-1.50	43.88	45.35	6.30
13	4	2.88	0.00	-1.50	47.45	48.41	6.30
14	4	3.52	0.01	-1.50	51.48	52.43	6.30
15	4	4.19	0.00	-1.50	55.54	56.98	6.30
16	4	4.84	0.00	-1.50	59.09	60.51	6.30
17	4	5.62	0.01	-1.50	63.14	64.56	6.30
18	4	6.37	0.01	-1.50	67.20	68.60	6.30
19	4	7.07	0.01	-1.50	70.25	71.64	6.30
20	4	7.95	0.01	-1.50	74.31	75.68	6.30
21	4	9.82	0.01	-1.50	78.38	79.72	6.30
22	4	11.32	0.01	-1.50	81.95	83.26	6.30
23	4	12.92	0.02	-1.50	86.02	87.31	6.30
24	4	14.62	0.02	-1.50	90.10	91.35	6.30
25	4	16.26	0.03	-1.50	94.17	94.89	6.30
26	4	-1.00	0.03	-1.50	94.17	94.89	6.30
27	4	-1.00	0.03	-1.50	94.17	94.89	6.30
28	4	-1.00	0.03	-1.50	94.17	94.89	6.30
29	4	-1.00	0.03	-1.50	94.17	94.89	6.30
30	4	-1.00	0.03	-1.50	94.17	94.89	6.30
31	4	-1.00	0.03	-1.50	94.17	94.89	6.30
1	5	0.00	0.00	-2.00	5.42	5.42	6.30
2	5	0.00	0.00	-2.00	8.45	8.45	6.30
3	5	0.00	0.01	-2.00	12.49	12.49	6.30
4	5	0.00	0.01	-2.00	16.03	16.03	6.30
5	5	0.02	0.01	-2.00	18.05	18.05	6.30
6	5	0.05	0.00	-2.00	22.60	22.60	6.30
7	5	0.12	0.01	-2.00	25.13	26.14	6.30
